id;plan;planTitle;version;versionTitle;title;parent;testUnits;controls;terms;okso;speciality;profileCode;profile;level;groupID;groupTitle;allload;allaudit;self;lecture;practice;labs;contactTotal;contactSelf;contactControl;contactLecture;contactPractice;contactLabs;tl1;tl2;tl3;tl4;tl5;tl6;tl7;tl8;tl9;tl10;tl11;tl12;gosLoadInTestUnits;ttu1;ttu2;ttu3;ttu4;ttu5;ttu6;ttu7;ttu8;ttu9;ttu10;ttu11;ttu12;modulePriority;index;controls_list;planType
unpled195e3pg0000of7ejp5ccuddcq4;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Web-технологии;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;0;34;58.90;7.65;0.25;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;3;0;0;0;0;0;0;0;0;0;90;М.1.15;;модульный
unpled195e3pg0000of7ejp64m8e3htg;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Теория вероятностей и математическая статистика;unpled195e3pg0000of7ejos0ap7l4lc;4;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;144;68;76;34;34;0;80.53;10.20;2.33;34.00;34.00;null;null;null;null;null;null;null;null;null;null;null;null;null;4;0;0;4;0;0;0;0;0;0;0;0;0;95;М.1.16;;модульный
unpled195e3pg0000of7ejp6scvq2trs;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Базы данных;unpled195e3pg0000of7ejos0ap7l4lc;4;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;144;51;93;17;0;34;60.98;7.65;2.33;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;4;0;0;4;0;0;0;0;0;0;0;0;0;107;М.1.17;;модульный
unpled195e3pg0000of7ejp7k5fg8ugk;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Технологии программирования;unpled195e3pg0000of7ejos0ap7l4lc;4;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;144;51;93;17;0;34;60.98;7.65;2.33;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;4;0;0;4;0;0;0;0;0;0;0;0;0;110;М.1.18;;модульный
unpled195e3pg0000of7ejp84erv44ic;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Дискретная математика и математическая логика;unpled195e3pg0000of7ejos0ap7l4lc;4;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;144;68;76;34;34;0;78.45;10.20;0.25;34.00;34.00;null;null;null;null;null;null;null;null;null;null;null;null;null;4;0;0;0;4;0;0;0;0;0;0;0;0;112;М.1.19;;модульный
unpled195e3pg0000of7ejp8rm0086fo;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Алгоритмы и анализ сложности;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;0;34;60.98;7.65;2.33;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;0;3;0;0;0;0;0;0;0;0;115;М.1.20;;модульный
unpled195e3pg0000of7ejp9b06bcsmk;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Компьютерные сети;unpled195e3pg0000of7ejos0ap7l4lc;4;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;144;51;93;17;0;34;60.98;7.65;2.33;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;4;0;0;0;4;0;0;0;0;0;0;0;0;119;М.1.21;;модульный
unpled195e3pg0000of7ejpa32rgbclo;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Архитектура ЭВМ;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;34;0;58.90;7.65;0.25;17.00;34.00;null;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;0;3;0;0;0;0;0;0;0;0;122;М.1.22;;модульный
unpled195e3pg0000of7ejpaikgeevb0;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Операционные системы;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;0;34;60.98;7.65;2.33;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;0;0;3;0;0;0;0;0;0;0;126;М.1.23;;модульный
unpled195e3pg0000of7ejpbas5hucgs;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Правовые основы информационных технологий;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;34;74;17;17;0;39.35;5.10;0.25;17.00;17.00;null;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;0;0;3;0;0;0;0;0;0;0;145;М.1.24;;модульный
